A2M,C4A
A2M,TYROBP
A2M,IFNG
A2M,MYL12A
A2M,CCND1
A2M,TNFSF10
A2M,C4B
A2M,MSR1
A2M,F2
A2M,APCS
A2M,NOS3
A2M,ITGB5
A2M,LPL
A2M,FABP4
A2M,CCND2
A2M,MYLK
A2M,ITGB2
A2M,CSF1R
A2M,COL5A1
A2M,SERPINE1
A2M,KLKB1
A2M,FOXA1
A2M,CRP
A2M,CCR1
A2M,STAT3
A2M,STAT1
A2M,ICAM1
A2M,LRP1
A2M,RHEB
A2M,CDH11
A2M,CASP3
A2M,CASP1
A2M,TNFRSF21
A2M,ABCC3
A2M,RHOT1
A2M,HLA-C
A2M,THBS2
A2M,THBS1
A2M,AIF1
A2M,RAD23A
A2M,DUSP6
A2M,MLST8
A2M,SOS1
A2M,WWTR1
A2M,PDGFA
A2M,TNF
A2M,CD163
ABCB1,IFNG
ABCB1,APEX1
ABCB1,WT1
ABCB1,ALDOB
ABCB1,GPC3
ABCB1,NOTCH4
ABCB1,CD4
ABCB1,STAT3
ABCB1,ICAM1
ABCB1,ABCC1
ABCB1,ABCC3
ABCB1,TAF1
ABCB1,IKZF1
ABCB1,NCAM1
ABCB1,HSP90AA1
ABCB1,IL12B
ABCB11,UBC
ABCB11,CRP
ABCB11,CARM1
ABCB11,NR1H3
ABCB11,CYP27A1
ABCB11,MAPK3
ABCB11,FGF19
ABCB11,CYP7A1
ABCB11,NR4A1
ABCB11,PRKCG
ABCB11,ACTN2
ABCB11,CYP4A11
ABCB11,ABCC1
ABCB11,ABCC3
ABCB4,RAD51B
ABCB4,APOC3
ABCB4,PLA2G1B
ABCB4,ABCF1
ABCB4,CHD9
ABCB4,JAK2
ABCB4,MYD88
ABCB4,PPARA
ABCB4,HDAC1
ABCB4,HDAC2
ABCB4,EPHA1
ABCB4,NCOA2
ABCB4,NCOA1
ABCB4,MAPK3
ABCB4,CSF1R
ABCB4,FOSL1
ABCB4,SCP2
ABCB4,CARM1
ABCB4,PLA2G2D
ABCB4,MYC
ABCB4,SLC27A2
ABCB4,ADH4
ABCB4,ACOX3
ABCB4,ALDH2
ABCB4,MAP4K4
ABCB4,ABCB1
ABCB4,APCS
ABCB4,TNF
ABCB4,ABCC1
ABCB4,ABCC3
ABCC1,POLD1
ABCC1,ABCC3
ABCC1,BCL2L1
ABCC1,HK2
ABCC1,CSNK2A1
ABCC1,THBS1
ABCC1,ETV6
ABCC1,GLI2
ABCC1,GLI1
ABCC3,CSNK2A2
ABCC3,CSNK2A1
ABCC3,CD163
ABCF1,PCBP1
ABCF1,SMARCD1
ABCF1,CCT5
ABCF1,EFTUD2
ABCF1,DNMT1
ABCF1,DCTN1
ABCF1,RBM10
ABCF1,CDK12
ABCF1,PRCC
ABCF1,ARAF
ABCF1,RFC2
ABCF1,CNOT1
ABCF1,SYNCRIP
ABCF1,FUS
ABCF1,PKM
ABCF1,RFC4
ABCF1,ALDOA
ABCF1,SND1
ABCF1,ERCC2
ABCF1,ABCB1
ABCF1,PSME3
ABCF1,ABCC3
ABCF1,LRPPRC
ABCF1,GPI
ABCF1,GMPS
ABCF1,ATIC
ABCF1,KIF5B
ABCF1,NONO
ABCF1,PLCB4
ABCF1,POLE3
ABCF1,PPP2R1A
ABCF1,HNRNPA2B1
